ISIN,Description,Market_Value,Percentage,Category,Currency,Page
"","",19464431,100,"other","Unknown",3
"","",24319,0.12,"other","Unknown",3
"","",19440112,99.88,"other","Unknown",3
"","",19464431,100,"other","Unknown",3
"","Other assets",26129,0.13,"other","Unknown",3
"","Structured products",6946239,35.69,"other","Unknown",3
"","",24319,0.12,"other","Unknown",3
"","",12363974,63.52,"other","Unknown",3
"","",103770,0.53,"other","Unknown",3
"","Total gain/loss of liabilities and obligations",19464431,100,"other","Unknown",4
"","Hedge Funds & Private Equity",26129,0.13,"other","Unknown",4
"","Other assets",26129,0.13,"other","Unknown",4
"","Structured products (Equities)",989800,5.09,"other","Unknown",4
"","Structured products (Bonds)",5956439,30.6,"other","Unknown",4
"","Structured products",6946239,35.69,"other","Unknown",4
"","",24319,0.12,"other","Unknown",4
"","",24319,0.12,"other","Unknown",4
"","Bond funds / certificates",1361466,6.99,"other","Unknown",4
"","",11002508,56.53,"other","Unknown",4
"","",12363974,63.52,"other","Unknown",4
"","Fixed advance",97700,0.5,"other","Unknown",4
"","Cash accounts",6070,0.03,"other","Unknown",4
"","Liabilities",103770,0.53,"other","Unknown",4
"","Total assets",19464431,0.12,"other","Unknown",5
"","Hedge Funds & Private Equity",26129,0.13,"other","Unknown",5
"","Other assets",26129,0.13,"other","Unknown",5
"","Structured products (Equities)",989800,5.09,"other","Unknown",5
"","Structured products (Bonds)",5956439,30.6,"other","Unknown",5
"","Structured products",6946239,35.69,"other","Unknown",5
"","",24319,0.12,"other","Unknown",5
"","",24319,0.12,"other","Unknown",5
"","Bond funds / certificates",1361466,6.99,"other","Unknown",5
"","",11002508,56.53,"other","Unknown",5
"","",12363974,63.52,"other","Unknown",5
"","Money Market",97700,0.5,"other","Unknown",5
"","Cash accounts",6070,0.03,"other","Unknown",5
"","",103770,0.53,"other","Unknown",5
"","Thereof Earnings",84967,0.44,"other","Unknown",6
"","In Local Currency",291065,1.52,"other","Unknown",6
"","Performance TWR",291700,1.52,"other","Unknown",6
"","thereof Money market",97700,0.5,"other","Unknown",7
"","thereof Cash accounts",6070,0.03,"other","Unknown",7
"","Total Liquidity",103770,0.53,"other","Unknown",7
"","RBC LONDON 0% NOTES 2025-28.03.2035",100000,0.5,"other","Unknown",7
"","ORDINARY USD",6070,0.03,"other","Unknown",7
"","BANK OF AMERICA NOTES 2023-20.12.31 VARIABLE RATE",256958,1.32,"other","Unknown",8
"","",102506,0.53,"other","Unknown",8
"","LUMINIS (4.2 % MIN/5.5 % MAX) NOTES 2024-17.01.30",100000,0.5,"other","Unknown",8
"","GOLDMAN SACHS 0% NOTES 23-07.11.29 SERIES P",737748,3.79,"other","Unknown",8
"","HARP ISSUER (4% MIN/5,5% MAX) NOTES 2023-18.09.2028",1507550,7.75,"other","Unknown",8
"","CANADIAN IMPERIAL BANK OF COMMERCE NOTES 23-22.08.28",200288,1.03,"other","Unknown",8
"","TORONTO DOMINION BANK NOTES 23-23.02.27 REG-S VRN",200000,1.02,"other","Unknown",8
"","JPMORGAN CHASE 0 % NOTES 2024-29.10.34 SERIES 2021-",100000,0.49,"other","Unknown",9
"","BANK OF AMERICA 0% NOTES 2024-17.10.2034",200000,1.02,"other","Unknown",9
"","GOLDMAN SACHS EMTN 2024-30.09.2024",100000,0.47,"other","Unknown",9
"","CITIGROUP GLBL 0 % MEDIUM TERM NOTES 2024-01.08.34",90054,0.46,"other","Unknown",9
